GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
7,es.ull.passengers,Passenger,10,67,3,7,2,21,3,10,0,8
7,es.ull.flights,Flight,0,67,0,4,0,18,0,8,0,6
